source,target,language,relation,weight,score_components,method
grapheme:np:अ,grapheme:np:अं,np,visually_confusable_with,1.0,"{""char_sim"": 1.0}",automatic_only
grapheme:np:अ,grapheme:np:अः,np,visually_confusable_with,1.0,"{""char_sim"": 1.0}",automatic_only
grapheme:np:अं,grapheme:np:अ,np,visually_confusable_with,1.0,"{""char_sim"": 1.0}",automatic_only
grapheme:np:अं,grapheme:np:अः,np,visually_confusable_with,0.5,"{""char_sim"": 0.5}",automatic_only
grapheme:np:अः,grapheme:np:अ,np,visually_confusable_with,1.0,"{""char_sim"": 1.0}",automatic_only
grapheme:np:अः,grapheme:np:अं,np,visually_confusable_with,0.5,"{""char_sim"": 0.5}",automatic_only
grapheme:np:क,grapheme:np:क्ष,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:ज,grapheme:np:ज्ञ,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:ञ,grapheme:np:ज्ञ,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:त,grapheme:np:त्र,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:त,grapheme:np:त्त,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:द,grapheme:np:द्य,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:द,grapheme:np:द्व,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:य,grapheme:np:द्य,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:र,grapheme:np:त्र,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:र,grapheme:np:श्र,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:व,grapheme:np:द्व,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:श,grapheme:np:श्र,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:ष,grapheme:np:क्ष,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:क्ष,grapheme:np:क,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:क्ष,grapheme:np:ष,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
grapheme:np:क्ष,grapheme:np:त्र,np,visually_confusable_with,0.333,"{""char_sim"": 0.333}",automatic_only
grapheme:np:क्ष,grapheme:np:ज्ञ,np,visually_confusable_with,0.333,"{""char_sim"": 0.333}",automatic_only
grapheme:np:क्ष,grapheme:np:श्र,np,visually_confusable_with,0.333,"{""char_sim"": 0.333}",automatic_only
grapheme:np:क्ष,grapheme:np:द्य,np,visually_confusable_with,0.333,"{""char_sim"": 0.333}",automatic_only
grapheme:np:क्ष,grapheme:np:द्व,np,visually_confusable_with,0.333,"{""char_sim"": 0.333}",automatic_only
grapheme:np:क्ष,grapheme:np:त्त,np,visually_confusable_with,0.333,"{""char_sim"": 0.333}",automatic_only
grapheme:np:त्र,grapheme:np:त,np,visually_confusable_with,0.667,"{""char_sim"": 0.667}",automatic_only
