Language,Pronoun Pair A (I/You),Pronoun Pair B (I/You),What causes confusion?,Penalty Score,Severity Level,Context A,Context B
Cantonese,我 (ngo5) / 你 (nei5),我 (ngo5) / 細佬 (sai3 lou2),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Younger - Younger (same gen) - Male - Neutral - Male spk
Cantonese,我 (ngo5) / 你 (nei5),我 (ngo5) / 細妹 (sai3 mui6),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Female - Neutral - Male spk,Younger - Younger (same gen) - Female - Neutral - Male spk
Cantonese,我 (ngo5) / 你 (nei5),我 (ngo5) / 哥哥 (go1 go1),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Older - Older (same gen) - Male - Neutral - Male spk
Cantonese,我 (ngo5) / 你 (nei5),我 (ngo5) / 姐姐 (ze2 ze2),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Female - Neutral - Male spk,Older - Older (same gen) - Female - Neutral - Male spk
Cantonese,我 (ngo5) / 你 (nei5),我 (ngo5) / 叔叔 (suk1 suk1),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Cantonese,我 (ngo5) / 你 (nei5),我 (ngo5) / 阿姨 (aa3 ji4),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Female - Neutral - Male spk,Older - Parents' gen - Female - Neutral - Male spk
Cantonese,我 (ngo5) / 你 (nei5),我 (ngo5) / 爺爺 (je4 je4),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Cantonese,我 (ngo5) / 你 (nei5),我 (ngo5) / 奶奶 (naai5 naai5),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Female - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
Cantonese,我 (ngo5) / 細佬 (sai3 lou2),我 (ngo5) / 哥哥 (go1 go1),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Older (same gen) - Male - Neutral - Male spk
Cantonese,我 (ngo5) / 細佬 (sai3 lou2),我 (ngo5) / 叔叔 (suk1 suk1),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Cantonese,我 (ngo5) / 細佬 (sai3 lou2),我 (ngo5) / 爺爺 (je4 je4),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Cantonese,我 (ngo5) / 細妹 (sai3 mui6),我 (ngo5) / 姐姐 (ze2 ze2),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Female - Neutral - Male spk,Older - Older (same gen) - Female - Neutral - Male spk
Cantonese,我 (ngo5) / 細妹 (sai3 mui6),我 (ngo5) / 阿姨 (aa3 ji4),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Female - Neutral - Male spk,Older - Parents' gen - Female - Neutral - Male spk
Cantonese,我 (ngo5) / 細妹 (sai3 mui6),我 (ngo5) / 奶奶 (naai5 naai5),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Female - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
Cantonese,我 (ngo5) / 哥哥 (go1 go1),我 (ngo5) / 阿姨 (aa3 ji4),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Male - Neutral - Male spk,Older - Parents' gen - Female - Neutral - Male spk
Cantonese,我 (ngo5) / 哥哥 (go1 go1),我 (ngo5) / 奶奶 (naai5 naai5),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Male - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
Cantonese,我 (ngo5) / 姐姐 (ze2 ze2),我 (ngo5) / 叔叔 (suk1 suk1),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Female - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Cantonese,我 (ngo5) / 姐姐 (ze2 ze2),我 (ngo5) / 爺爺 (je4 je4),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Female - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Cantonese,我 (ngo5) / 叔叔 (suk1 suk1),我 (ngo5) / 奶奶 (naai5 naai5),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Parents' gen - Male - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
Cantonese,我 (ngo5) / 阿姨 (aa3 ji4),我 (ngo5) / 爺爺 (je4 je4),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Parents' gen - Female - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Mandarin,我 (wǒ) / 你 / 小 + name (nǐ / xiǎo),我 (wǒ) / 哥哥 (gēge),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Older (same gen) - Male - Neutral - Male spk
Mandarin,我 (wǒ) / 你 / 小 + name (nǐ / xiǎo),我 (wǒ) / 姐姐 (jiějie),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Female - Neutral - Male spk,Older - Older (same gen) - Female - Neutral - Male spk
Mandarin,我 (wǒ) / 你 / 小 + name (nǐ / xiǎo),我 (wǒ) / 叔叔 (shūshu),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Mandarin,我 (wǒ) / 你 / 小 + name (nǐ / xiǎo),我 (wǒ) / 阿姨 (āyí),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Female - Neutral - Male spk,Older - Parents' gen - Female - Neutral - Male spk
Mandarin,我 (wǒ) / 你 / 小 + name (nǐ / xiǎo),我 (wǒ) / 爷爷 (yéye),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Mandarin,我 (wǒ) / 你 / 小 + name (nǐ / xiǎo),我 (wǒ) / 奶奶 (nǎinai),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Female - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
Mandarin,我 (wǒ) / 哥哥 (gēge),我 (wǒ) / 阿姨 (āyí),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Male - Neutral - Male spk,Older - Parents' gen - Female - Neutral - Male spk
Mandarin,我 (wǒ) / 哥哥 (gēge),我 (wǒ) / 奶奶 (nǎinai),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Male - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
