"concept_id","part_of_speech","lemmas","english_lemmas","gloss","english_gloss"
"1",3,"دم لینا | سانس لینا | ہستی","entity","NO_GLOSS","that which is perceived or known or inferred to have its own distinct existence (living or nonliving)"
"2",1,"اسم | عرف | کنیت | لقب | نام","name","وہ لفظ جس سے کسی چیز ،آدمی وغیرہ کاعلم ہو یا پکارا جائے","a language unit by which a person or thing is known"
"3",1,"بیان | تفصیل | توضیح | حال | روداد | کیفیت | ماجرا","description | verbal description","NO_GLOSS","a statement that represents something in words"
"4",1,"اسم معرفہ | معرفہ","hyponym | subordinate | subordinate word","وہ لفظ جو کسی دیئے گئے لفظ کے تعلق کے نقطہ نظر سے کم وسیع یا محدود ہو","a word that is more specific than a given word"
"6",1,"پرزہ | ٹکڑا | جزو | حصہ | عضو","component | component part | part | portion","ان ٹکروں یا پرزوں میں سے کوئی ایک ، جنکے جورنے سے کو ئی چیز بنتی ہو","something determined in relation to something that includes it"
"7",1,"الٹا | برعکس | متضاد | متضاد لفظ","antonym | opposite | opposite word","ایک لفظ کو دھیان میں رکھ کر اس کے معنی کے برخلاف معنی دینے والا دوسرا لفظ","a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other"
"12",2,"سمان","similar","NO_GLOSS","marked by correspondence or resemblance"
"14",1,"رکن | عضو","member","NO_GLOSS","one of the persons who compose a social group (especially individuals who have joined and participates in a group organization)"
"16",1,"اپریہاریتاواچی","deduction | entailment | implication","وہ تعلق جو ان افعال میں ہوتا ہے جس میں کسی فعل میں کوئی فعل پوشیدہ ہوتا ہے یعنی اگر کوئی عمل ہورہا ہو دوسرا عمل خودبخود ہوجائے:""کھراٹے لینا اور سونا میں جو تعلق ہے وہی اپریہاریتاواچی ہے""","something that is inferred (deduced or entailed or implied)"
"18",3,"لے لینا | لینا","consider | deal | look at | take","مثال کے طور پر لینا","take into consideration for exemplifying purposes"
"24",1,"کچھ | کوئی | کوئی اشیا | کوئی چیز","something","کسی بھی قسم کی کوئی چیز:""آپ کو کچھ چاہیےآپ کو کچھ کہنا ہے""","a thing of some kind"
"32",1,"جان | جیون | زندگی","life","زندہ جاندار","living things collectively"
"34",1,"خلیہ | زندگی کی اکائی","cell","سبھی جانداروں میں بنیادی تخلیقی اور عملی اکائی جس سے جانداروں کی تخلیق ہوئی ہے","(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals"
"36",1,"شخص","individual | mortal | person | somebody | someone | soul","NO_GLOSS","a human being"
"37",1,"جانور | حیوان","animal | animate being | beast | brute | creature | fauna","NO_GLOSS","a living organism characterized by voluntary movement"
"38",1,"نبات | نباتات","flora | plant | plant life","NO_GLOSS","a living organism lacking the power of locomotion"
"39",1,"قدرتی اشیاء | قدرتی چیز","natural object","وہ چیز جو   قدرت سے متعلق ہو یا قدرت کے ذریعہ تعمیر شدہ ہو","an object occurring naturally; not made by man"
"41",1,"کھانا","food | nutrient","NO_GLOSS","any substance that can be metabolized by an organism to give energy and build tissue"
"45",1,"علم | گیان","cognition | knowledge | noesis","NO_GLOSS","the psychological result of perception and learning and reasoning"
"47",1,"پہچان | خاصیت | خصوصیت | خوبی | شناخت | صفت","attribute","کسی شیے میں پائی جانے والی وہ خاص بات یا عنصر جس کے ذریعے وہ دوسری چیز سے الگ مانی جائے","an abstraction belonging to or characteristic of an entity"
"50",1,"ٹھکانہ | مقام","location","متعینہ اور مقررہ مقام:""گھر میں کوئی چیز اپنے مقام پر نہیں ہے""","a point or extent in space"
"52",1,"ٹائم | وقت","time","تجربات کا سلسلہ جس میں واقعات مستقبل سے حال میں ہوکر ماضی میں جاتی ہے","the continuum of experience in which events pass from the future through the present to the past"
"53",1,"آسمانی | سماوی | فضائی | فلکیاتی","infinite | space","وہ جگہ جہاں فلکیاتی سیارے ہو تے ہیں","the unlimited expanse in which everything is located"
"59",1,"گروپ | گروہ","group | grouping","NO_GLOSS","any number of entities (members) considered as a unit"
"62",1,"سماجی رشتہ | معاشرتی تعلق | معاشرتی رشتہ | معاشرتی میل جول","social relation","زندہ جانداروں، خاص طور سے لوگوں کے بیچ کا تعلق","a relation between living organisms (especially between people)"
"63",1,"ابلاغ | اطلاع | خبر","communication","وہ جو لوگوں اور جماعتوں کے درمیان ترسیل ہوتاہے","something that is communicated by or to or between people or groups"
"64",1,"مقدار","amount | measure | quantity","NO_GLOSS","how much there is of something that you can quantify"
"67",1,"دردمندی | غمخواری | غمگساری | ہمدردی","benignity | kindness","کرم یا رحم کرنے کا عمل","a kind act"
"97",1,"تلواربازی | شمشیربازی","play | swordplay","شمشیر چلانے عمل یا ہنر","the act using a sword (or other weapon) vigorously and skillfully"
"100",1,"حصول | حصولیابی","acquiring | getting","کچھ حاصل کرنے یا پیدا کرنے کا عمل:""تعلیم کے حصول کے لیے وہ چین جارہا ہے""","the act of acquiring something"
"102",1,"زچگی | زچہ ہونے کی حالت وضع حمل | ولادت","delivery | obstetrical delivery","بچہ جننے کا عمل","the act of delivering a child"
"103",1,"رخصتی | روانگی | وداعی","departure | going | going away | leaving","ایک مقام سے دوسرے مقام کو جا نے کا عمل","act of departing"
"105",1,"انکشاف | تلاش | دریافت | کھوج","discovery | find | uncovering","NO_GLOSS","the act of discovering something"
"106",1,"نکاس","disposal | disposition","نکالنے یا باہر نکالنے کا عمل:""برسات میں پانی کا نکاس ٹھیک نہیں ہوپاتا ہے""","the act or means of getting rid of something"
"110",1,"اعتدال | توازن","equalisation | equalization | leveling","متوقعہ تول یا وزن کے برابر یا ٹھیک کرنے یا ہونے کا عمل","the act of making equal or uniform"
"117",1,"تماشہ | کھیل کا مظاہرہ | کھیل کی نمائش | نمائش کھیل","stunt","کھیل کا مظاہرہ","a difficult or unusual or dangerous feat; usually done to gain attention"
"150",1,"اتراؤ | اترائی | نزول","landing","جہاز یا کسی اور چیز کا کسی سطح پر اترنے کا عمل","the act of coming down to the earth (or other surface)"
"153",1,"رخصت | روانگی | وداع | وداعی","farewell | leave | leave-taking | parting","وداع ہونےکاعمل","the act of departing politely"
"164",1,"انحراف","abandonment | defection | desertion","فرض یا ذمے داری کو چھوڑ کر بھاگ جانے کاعمل","withdrawing support or help despite allegiance or responsibility"
"168",1,"نقل مکانی | ہجرت","emigration | expatriation | out-migration","اپنے ملک کو چھوڑ کر کسی دوسرے ملک میں چلے جانے کا عمل","migration from a place (especially migration from your native country in order to settle in another)"
"169",1,"ترک وطن | جلاوطنی | نقل مکان | ہجرت","immigration | in-migration","اپنا ملک چھوڑ کر دوسرے ملک میں جاکر رہنے کا عمل","migration into a place (especially migration to a country of which you are not a native in order to settle there)"
"181",1,"خروج","exit","باہرجانےکاعمل:""وزیراعظم نے پارلیمنٹ سے خروج کیاخروج کےلئے اس کمرے میں صرف ایک ہی دروازہ ہے""","the act of going out"
"183",1,"بھاگنا | روانگی | فرار | کوچ","escape | flight","بھاگ کھڑے ہونے کا عمل","the act of escaping physically"
"214",1,"فراخ دلانہ | فیاضانہ","ennoblement","سخاوت کی شکل دینے کا عمل یا جذبہ","the act of raising someone to the nobility"
"228",1,"بربادی | ضائع | گم شدگی","loss","کھونے یا گنوانے کا عمل","the act of losing"
"232",1,"انحطاط | تنزلی پن | زوال","backsliding | lapse | lapsing | relapse | relapsing | reversion | reverting","زوال پذیرہونےیاگرجانےکی حالت یاکیفیت:""اس کےتنزلی پن پرمجھےشرم آتی ہے""","a failure to maintain a higher state"
"249",1,""" | بھول | بے پروائی | سہو | غفلت | غلط | غلط فہمی | غلطی | فروگزاشت | کوتاہی","error | fault | mistake","NO_GLOSS","a wrong action attributable to bad judgment or ignorance or inattention"
"255",1,"بھرم | دھوکہ | شبہ | فریب | وہم","confusion | mix-up","کسی کو کچھ اور ہی یا دوسرا سمجھنے کا عمل یاتاثر","a mistake that results from taking one thing to be another"
