source,target,language,relation,weight,score_components,method
phoneme:np:/ʌ/,phoneme:np:/ʌi/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/ʌu/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/ʌhʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/kʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/kʰʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/ɡʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/ɡʱʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/ŋʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/tsʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/dzʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/ʈʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/ʈʰʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/ɖʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/ɖʱʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/tʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/tʰʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/dʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/dʱʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/nʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/pʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/bʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/bʱʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/mʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/jʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/rʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/lʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/sʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/hʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/ksʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/trʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/srʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/djʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/dwʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌ/,phoneme:np:/ttʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/i/,phoneme:np:/ʌi/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/i/,phoneme:np:/ri/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/u/,phoneme:np:/ʌu/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/ʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/i/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/ʌu/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/ri/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/ʌhʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/kʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/kʰʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/ɡʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/ɡʱʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/ŋʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/tsʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/dzʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/ʈʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/ʈʰʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/ɖʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/ɖʱʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/tʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/tʰʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/dʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
