"concept_id","part_of_speech","lemmas","english_lemmas","gloss","english_gloss"
"1",3,"सासफेर्नु | सासलिनु","entity","नाक वा मुखबाट सास लिनु र छोड्नु:सजीवहरू सबैले सास फेर्छन्","that which is perceived or known or inferred to have its own distinct existence (living or nonliving)"
"2",1,"नाम","name","त्यो शब्द जसद्वारा कुनै वस्तु,व्यक्ति आदिको बोध हुन्छ या जसलाई पुकारिन्छ","a language unit by which a person or thing is known"
"6",1,"अंश | अंशक | अङ्ग | खंड | खण्ड | चरण | टुकरो | भाग | विभाग | हिस्सा","component | component part | part | portion","ती अङ्ग या अवयवबाट कुनै एउटा, जसको योगबाट कुनै वस्तु बनिएको हुन्छ","something determined in relation to something that includes it"
"18",3,"लिनु","consider | deal | look at | take","उदाहरणका रूपमा लिनु","take into consideration for exemplifying purposes"
"34",1,"कोशिका | कोषाणु | जैव एकाइ","cell","सबै प्राणीहरूको मूल संरचनात्मक एवं कार्यात्मक एकाइ जसद्वारा  प्राणीहरूको निर्माण भएको छ","(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals"
"39",1,"नैसर्गिक वस्तु | प्राकृतिक वस्तु","natural object","त्यो वस्तु जो प्रकृतिसित सम्बन्धित छ या प्रकृतिद्वारा निर्मित हो","an object occurring naturally; not made by man"
"41",1,"खाना","food | nutrient","NO_GLOSS","any substance that can be metabolized by an organism to give energy and build tissue"
"50",1,"ठेगान","location","निश्चित वा निर्दिष्ट स्थान","a point or extent in space"
"53",1,"खगोल | खगोलीय क्षेत्र | खमण्डल","infinite | space","त्यो ठाउँ जसमा खगोलीय पिण्ड हुन्छन्","the unlimited expanse in which everything is located"
"59",1,"समूह","group | grouping","NO_GLOSS","any number of entities (members) considered as a unit"
"62",1,"सामाजिक सम्बन्ध","social relation","जीवित प्राणी,विशेषगरी मानिसका बीचको सम्बन्ध","a relation between living organisms (especially between people)"
"100",1,"अर्जन | आर्जन | उपार्जन","acquiring | getting","केही प्राप्त गर्ने (या उत्पन्न) गर्ने क्रिया","the act of acquiring something"
"102",1,"जन्म | प्रसव | प्रसूति","delivery | obstetrical delivery","नानी जन्मिने क्रिया","the act of delivering a child"
"103",1,"गमन | प्रस्थान | यात्रा","departure | going | going away | leaving","एक ठाउँबाट अर्को ठाउँमा जाने क्रिया:रामको वन गमनको समाचार सुनेर सबै अयोद्धावासीहरूलाई गहिरो आघात लाग्योआधा घन्टामा हामी प्रस्थान गर्छौं","act of departing"
"105",1,"अनुसन्धान | खोज | तलास","discovery | find | uncovering","कुनै चीज पाउन या देख्न टुङ्गो लगाउने क्रिया त्यो कहाँ छ अनि कसरी छ","the act of discovering something"
"150",1,"अवतरण | ओर्लाइ","landing","वायुयान कुनै सतहमा ओर्लिने क्रिया","the act of coming down to the earth (or other surface)"
"153",1,"बिछोड | बिदा","farewell | leave | leave-taking | parting","विदा हुने  क्रिया","the act of departing politely"
"168",1,"देशत्याग","emigration | expatriation | out-migration","आफ्नो देशलाई छोडेर कुनै अर्को देशमा जाने क्रिया","migration from a place (especially migration from your native country in order to settle in another)"
"214",1,"उदारीकरण","ennoblement","उदात्त स्वरूप प्रदान गर्ने क्रिया वा भाव","the act of raising someone to the nobility"
"228",1,"अपचय | खर्च","loss","हराउने वा गुमाउने क्रिया","the act of losing"
"249",1,"अशुद्धि | गल्ती | चूक | बिराम | भूल | भूलचूक","error | fault | mistake","त्यस्तो काम जुन लापरवाह वा भूल विचारका कारण उत्पन्न हुन्छ:तिमीलाई यस भूलको सजाय अवश्य हुन्छरमाले आफ्ना बाउलाई के भनी भने मलाई यस भूलको क्षमा दिनुहोस्","a wrong action attributable to bad judgment or ignorance or inattention"
"255",1,"धोखा | भ्रम | भ्रान्ति | विभ्रम","confusion | mix-up","कसैलाई अर्कै थोक नै या अर्को ठान्ने भाव","a mistake that results from taking one thing to be another"
"266",1,"गलती | चूक | त्रुटि | भूल","omission | skip","असावधानताका कारण कार्यको कुनै अङ्गमा ध्यान नपुग्ने वा त्यसको रहने क्रिया","a mistake resulting from neglect"
"281",1,"अधिग्रहण","acquisition","अधिकारपूर्वक अथवा अधियाचनाद्वारा कसैको सम्पत्ति या अरू कुनै चिज लिने कार्य","the act of contracting or assuming or acquiring possession of something"
"321",1,"जफत","arrogation | confiscation","अधिकारी अथवा राज्‍यद्वारा दण्डस्वरूप कुनै अपराधीको सम्पत्ति हरण गर्नु","seizure by the government"
"324",1,"जफतगर्नु | हडप्नु","impounding | impoundment | internment | poundage","ऋणीको ऋण वा अपराधीलाई जरिमाना गर्नका लागि राज्यद्वारा उसको सम्पत्तिमा गरिएको अधिकार:ऋण नदिने किसानहरूको सम्पत्ति जफत गरिँदै छ","placing private property in the custody of an officer of the law"
"356",1,"लिलाम","auction | auction sale | vendue","चिजहरू बेच्ने त्यो ढङ्ग जसमा मालत्यस मान्छेलाई दिइन्छ जसले सबैभन्दा धेरै दाम दिन्छ","the public sale of something to the highest bidder"
