"concept_id","part_of_speech","lemmas","english_lemmas","gloss","english_gloss"
"2",1,"اسم | اسمية","name","NO_GLOSS","a language unit by which a person or thing is known"
"41",1,"ماكلة","food | nutrient","NO_GLOSS","any substance that can be metabolized by an organism to give energy and build tissue"
"608",1,"بوسة","buss | kiss | osculation","NO_GLOSS","the act of caressing with the lips (or an instance thereof)"
"3070",1,"نجارة","carpentry | woodwork | woodworking","NO_GLOSS","the craft of a carpenter: making things out of wood"
"6113",1,"عْوين","aid | assist | assistance | help","NO_GLOSS","the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose"
"6264",1,"انتقام","retaliation | revenge","NO_GLOSS","action taken in return for an injury or offense"
"7183",1,"بيض | بيضة","egg","NO_GLOSS","animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds"
"8906",1,"فروج","cock | rooster","NO_GLOSS","adult male chicken"
"8910",1,"دْجاجة","biddy | hen","NO_GLOSS","adult female chicken"
"9746",1,"بَبُّوش | حلزون‎ | غلالة","snail","NO_GLOSS","freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell"
"11425",1,"سراق الزيت","cockroach | roach","NO_GLOSS","any of numerous chiefly nocturnal insects; some are domestic pests"
"12339",1,"بغل | بغلة","hinny","NO_GLOSS","hybrid offspring of a male horse and a female donkey or ass; usually sterile"
"12370",1,"حْليّف","piggy | piglet | shoat | shote","NO_GLOSS","a young pig"
"12403",1,"بهايم | كسيبة","bos taurus | cattle | cows | kine | oxen","NO_GLOSS","domesticated bovine animals as a group regardless of sex or age"
"12408",1,"بقرة","cow | moo-cow","NO_GLOSS","female of domestic cattle"
"12466",1,"حولي | خروف | خروفة | نعجة","lamb","NO_GLOSS","young sheep"
"14341",1,"طارو","ash-bin | ash bin | ashbin | ashcan | dustbin | garbage can | trash barrel | trash bin | trash can | wastebin","NO_GLOSS","a bin that holds rubbish until it is collected"
"14494",1,"خنشة","bag","NO_GLOSS","a flexible container with a single opening"
"14498",1,"بكاج","baggage | luggage","NO_GLOSS","a case used to carry belongings when traveling"
"14764",1,"ناموسية","bed","NO_GLOSS","a piece of furniture that provides a place to sleep"
"15004",1,"فلوكة","boat","NO_GLOSS","a small vessel for travel on water"
"15170",1,"بريمة | تورنو","bitstock | brace","NO_GLOSS","a carpenter's tool having a crank handle for turning and a socket to hold a bit for boring"
"15388",1,"برنوص","burnoose | burnous | burnouse","NO_GLOSS","a long hooded cloak woven of wool in one piece; worn by Arabs and Moors"
"15422",1,"صدفة","button","NO_GLOSS","a round fastener sewn to shirts and coats etc to fit through buttonholes"
"16023",1,"ݣرو","butt | cigaret | cigarette | coffin nail | fag","NO_GLOSS","finely ground tobacco wrapped in paper; for smoking"
"16118",1,"مݣانة","clock","NO_GLOSS","a timepiece that shows the time of day"
"16183",1,"علاقة","clothes hanger | coat hanger | dress hanger","NO_GLOSS","a hanger that is shaped like a person's shoulders and used to hang garments on"
"16280",1,"مشطة","comb","NO_GLOSS","a flat device with narrow pointed teeth on one edge; disentangles or arranges hair"
"16345",1,"جلدة | واقي","condom | prophylactic | rubber | safe | safety","NO_GLOSS","contraceptive device consisting of a sheath of thin rubber or latex that is worn over the penis during intercourse"
"16712",1,"خامية","curtain | drape | drapery | mantle | pall","NO_GLOSS","hanging cloth used as a blind (especially for a window)"
"17121",1,"باب","door","NO_GLOSS","a swinging or sliding barrier that will close the entrance to a room or building or vehicle"
"17342",1,"سكنة","abode | domicile | dwelling | dwelling house | habitation | home","NO_GLOSS","housing that someone is living in"
"17625",1,"لوزين | معمل | وزين","factory | manufactory | manufacturing plant | mill","NO_GLOSS","a plant consisting of one or more buildings with facilities for manufacturing"
"17661",1,"فيرمة","farm","NO_GLOSS","workplace consisting of farm buildings and cultivated land as a unit"
"17855",1,"راية","flag","NO_GLOSS","emblem usually consisting of a rectangular piece of cloth of distinctive design"
"18054",1,"قلعة","fort | fortress","NO_GLOSS","a fortified defensive structure"
"18137",1,"مقلة","frying pan | frypan | skillet","NO_GLOSS","a pan used for frying foods"
"18226",1,"ڭراج","garage","NO_GLOSS","an outbuilding (or part of a building) for housing automobiles"
"18232",1,"جردة | جنينة","garden","NO_GLOSS","a plot of ground where plants are cultivated"
"18459",1,"قبر","grave | tomb","NO_GLOSS","a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)"
"18589",1,"فنتة","hairpin","NO_GLOSS","a double pronged pin used to hold women's hair in place"
"18969",1,"سبيطار","hospital | infirmary","NO_GLOSS","a health facility where patients receive treatment"
"18979",1,"أوطيل | فندق","hotel","NO_GLOSS","a building where travelers can pay for lodging and meals and other services"
"19382",1,"ساروت | مفتاح","key","NO_GLOSS","metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated"
"19444",1,"موس","knife","NO_GLOSS","edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle"
"19517",1,"ركيزة","lamppost","NO_GLOSS","a metal post supporting an outdoor lamp (such as a streetlight)"
"20131",1,"بوق","megaphone","NO_GLOSS","a cone-shaped acoustic device held to the mouth to intensify and direct the human voice"
"20160",1,"سلعة","merchandise | product | ware","NO_GLOSS","commodities offered for sale"
"20293",1,"مراية","mirror","NO_GLOSS","polished surface that forms images by reflecting light"
"20384",1,"جامع | مسجد","mosque","NO_GLOSS","(Islam) a Muslim place of worship that usually has a minaret"
"20809",1,"فرّان","oven","NO_GLOSS","kitchen appliance used for baking or roasting"
"21224",1,"طرف","piece","NO_GLOSS","a separate part of a whole"
"21259",1,"خدية | مخدة","pillow","NO_GLOSS","a cushion to support the head of a sleeping person"
"21324",1,"فردي | كابوس","handgun | pistol | shooting iron | side arm","NO_GLOSS","a firearm that is held and fired with one hand"
"21450",1,"جيب","pocket","NO_GLOSS","a small pouch inside a garment for carrying small articles"
"21576",1,"فخار","clayware | pottery","NO_GLOSS","ceramic ware made from clay and baked in a kiln"
"21652",1,"حبْس","prison | prison house","NO_GLOSS","a correctional institution where persons are confined while on trial or for punishment"
"21943",1,"ززوار | موس","razor","NO_GLOSS","edge tool used in shaving"
"22077",1,"ريسطورة","eating house | eating place | restaurant","NO_GLOSS","a building where people go to eat"
