source,target,language,seed_weight,reason
grapheme:ur:ب,grapheme:ur:پ,ur,0.9,visual lookalike (dots difference)
grapheme:ur:پ,grapheme:ur:ب,ur,0.9,visual lookalike (dots difference)
grapheme:ur:ت,grapheme:ur:ٹ,ur,0.9,visual lookalike (dots vs toay difference)
grapheme:ur:ٹ,grapheme:ur:ت,ur,0.9,visual lookalike (dots vs toay difference)
grapheme:ur:ت,grapheme:ur:ث,ur,0.9,visual lookalike (dots difference)
grapheme:ur:ث,grapheme:ur:ت,ur,0.9,visual lookalike (dots difference)
grapheme:ur:ج,grapheme:ur:چ,ur,0.9,visual lookalike (dots difference)
grapheme:ur:چ,grapheme:ur:ج,ur,0.9,visual lookalike (dots difference)
grapheme:ur:ح,grapheme:ur:خ,ur,0.9,visual lookalike (dots difference)
grapheme:ur:خ,grapheme:ur:ح,ur,0.9,visual lookalike (dots difference)
grapheme:ur:د,grapheme:ur:ڈ,ur,0.9,visual lookalike (dots vs toay difference)
grapheme:ur:ڈ,grapheme:ur:د,ur,0.9,visual lookalike (dots vs toay difference)
grapheme:ur:د,grapheme:ur:ذ,ur,0.9,visual lookalike (dots difference)
grapheme:ur:ذ,grapheme:ur:د,ur,0.9,visual lookalike (dots difference)
grapheme:ur:ر,grapheme:ur:ڑ,ur,0.9,visual lookalike (dots vs toay difference)
grapheme:ur:ڑ,grapheme:ur:ر,ur,0.9,visual lookalike (dots vs toay difference)
grapheme:ur:ر,grapheme:ur:ز,ur,0.9,visual lookalike (dots difference)
grapheme:ur:ز,grapheme:ur:ر,ur,0.9,visual lookalike (dots difference)
grapheme:ur:س,grapheme:ur:ش,ur,0.9,visual lookalike (dots difference)
grapheme:ur:ش,grapheme:ur:س,ur,0.9,visual lookalike (dots difference)
