expression_id,usage_id,category,darija,literal_translation,trigger_event,temporal_position,scenarios,urdu,urdu_scenario,vietnamese,vietnamese_scenario,nepali,nepali_scenario
E01,E01-U1,INVOCATION,Bismillah,In the name of God,before_eating_or_drinking,BEFORE,before taking the first bite of a meal OR before taking the first sip of a drink,بسم اللہ (Bismillah),,Mời mọi người ăn cơm,said by host inviting everyone to eat (not by individual before own bite),,
E01,E01-U2,INVOCATION,Bismillah,In the name of God,before_starting_significant_task,BEFORE,before starting an exam OR before starting a journey or driving OR before signing a contract or starting a business deal OR before any significant new undertaking,بسم اللہ (Bismillah),,,,श्री गणेश (Shri Ganesh),"specifically used to invoke an auspicious beginning, especially in Hindu cultural contexts"
E02,E02-U1,INVOCATION,L7amdullah,Praise be to God,after_finishing_meal,AFTER,after finishing a meal to express satisfaction and gratitude,الحمدللہ (Alhamdulillah),,,,,
E02,E02-U2,GREETING_REPLY,L7amdullah,Praise be to God,responding_to_how_are_you,DURING,responding to 'how are you' when things are well OR responding to a wellness check-in from someone,الحمدللہ (Alhamdulillah),,"Khỏe, cảm ơn","secular reply, literally 'fine, thanks'",भगवानको कृपा (Bhagwan ko kripa),
E02,E02-U3,INVOCATION,L7amdullah,Praise be to God,after_escaping_danger_or_problem_resolved,AFTER,after escaping a dangerous situation safely OR after a problem or worry resolves favorably,الحمدللہ (Alhamdulillah),,May quá,secular 'how lucky',भगवानको कृपा (Bhagwan ko kripa),
E03,E03-U1,INVOCATION,Inshallah,If God wills it,mentioning_future_plan,DURING,appended after any future-tense statement or plan OR after promising to do something OR after stating an expectation about tomorrow,انشاء اللہ (InshaAllah),,,,प्रभुको इच्छा (Prabhuko ichha),
E03,E03-U2,REFUSAL_SOFT,Inshallah,If God wills it,indirect_polite_refusal,DURING,as a non-committal 'maybe' to avoid saying no directly OR to politely decline an invitation without refusing outright,انشاء اللہ (InshaAllah),,Để tính sau,"literally 'let's see later', a common Vietnamese non-committal",,
E04,E04-U1,PROTECTION,Tbark llah,Blessed be God,complimenting_or_admiring,DURING,"while complimenting someone's appearance OR while admiring a child or possession OR while praising someone's achievement, to ward off the evil eye",ماشاء اللہ (Mashallah),,Trộm vía,,भगवानले रक्षा गरून् (Bhagwanle raksha garun),
E05,E05-U1,WELLBEING_WISH,Bss77a,With health,after_bodily_refresh,AFTER,after someone finishes eating OR after someone finishes drinking OR after someone bathes or showers OR after someone gets a haircut OR after someone wears new clothes,صحت ہو (Sehat ho),,,,,
E06,E06-U1,WELLBEING_REPLY,Lla y3tik ssa7a,May God give you health,responding_to_health_wish,AFTER,responding to someone who wished you health after a meal or refresh OR returning a wellness-blessing back to the well-wisher,اللہ آپ کو بھی صحت دے (Allah aapko bhi sehat de),as the reply to 'Sehat ho',,,,
